node1,node2,weight
5988,5849,0.437
5989,9263,-0.237
5989,7930,0.167
5989,8172,0.242
5989,8609,0.211
5989,6964,0.542
5989,4362,0.209
5989,7153,0.131
5989,9209,-0.105
5989,8222,0.122
5989,7113,0.117
5989,3142,0.076
5989,8681,0.339
5989,7857,0.138
5989,7127,0.183
5989,9166,0.037
5989,7971,0.391
5989,3044,0.138
5989,4340,0.144
5989,8193,0.186
5989,5988,0.416
5989,2341,0.147
5989,1426,0.188
5989,4382,0.119
5989,6962,0.082
5989,8880,0.276
5989,7098,0.211
5989,5097,0.249
5989,8659,-0.068
5989,7198,0.206
5989,8611,0.179
5989,2790,0.211
5989,3871,0.211
5989,7755,0.246
5989,8960,0.242
5989,8808,0.163
5989,8900,0.144
5989,2814,-0.045
5989,6974,0.211
5989,9062,0.211
5989,2915,0.138
5989,8639,0.211
5989,8638,0.172
5989,8636,0.166
5989,8063,0.211
5989,8742,0.094
5989,47,0.118
5989,261,0.07
5989,7967,0.147
5989,7661,0.007
5989,165,0.612
5989,7648,0.151
5989,8133,-0.1
5989,7264,-0.089
5989,6170,0.211
5989,5267,0.211
5989,7874,0.242
5989,7069,-0.033
5989,6797,-0.005
5989,7606,0.242
5989,7212,0.081
5989,4010,0.138
5989,8830,0.242
5989,8207,-0.067
5989,8858,0.233
5989,1749,0.211
5989,8762,0.369
5989,8647,0.128
5989,1517,0.11
5989,8724,0.167
5989,6078,0.125
5982,5979,0.147
5983,4032,0.132
5983,2925,0.266
5980,5979,0.281
5981,5979,0.209
5986,4032,0.066
5986,3177,0.2
5987,4032,0.319
5984,997,0.165
5984,7323,0.73
5984,2879,0.787
5984,5358,0.333
5984,7888,-0.013
5984,6259,0.907
5984,5530,-0.018
5984,1791,0.281
5984,4032,0.058
5984,7657,0.326
5984,5338,-0.365
5984,5307,0.318
5984,297,-0.166
5984,7884,0.545
5984,1899,0.302
5985,4032,0.27
6797,3269,0.487
6797,7389,0.266
6797,8687,0.577
6797,5211,0.231
6797,9225,0.366
6797,1903,0.355
6797,7711,0.3985
6797,7203,0.692
6797,7264,0.433
6797,6665,0.293
6797,6065,0.188
6797,7755,0.292
6797,8654,0.579
6797,9006,0.13
6797,6152,0.577
6797,5530,0.367
6797,8905,0.562
6797,8127,-0.087
6797,6796,0.22
6797,5447,0.539
6797,7102,-0.003
6797,7033,0.194
6797,5812,0.313
6795,5978,-0.012
6795,6867,0.078
6795,6878,-0.154
6790,6090,-0.103
6791,6090,-0.394
6791,7240,-0.174
6798,9263,-0.043
6798,6796,0.165
6798,3582,0.153
6798,8639,0.474
6798,17,0.375
6798,8066,0.109
6798,3806,0.173
6798,8806,0.375
6798,8830,0.322
6798,8927,0.106
6798,7506,0.5845
6798,5892,0.481
6798,3006,0.078
6798,9182,-0.032
6798,8921,0.22
6798,8803,0.747
6798,7755,0.478
6798,9223,-0.092
6798,1903,0.082
6798,1751,0.212
6799,6796,0.14
2147,526,0.136
270,1589,0.032
270,562,0.105
270,164,0.191
270,720,0.263
270,277,0.06
270,234,0.027
270,434,0.569
270,92,0.747
271,1305,-0.191
271,1192,-0.035
271,668,0.24
271,662,0.003
271,1202,0.12
271,1070,0.091
271,234,0.021
271,1080,-0.041
271,1547,0.06
271,839,0.019
271,1584,-0.022
271,2984,-0.034
271,407,0.008
271,346,0.474
271,1501,0.127
271,7,0.065
271,8,0.179
271,548,0.365
271,425,0.266
271,424,-0.236
271,585,0.329
271,469,0.02
271,770,0.115
271,719,0.235
271,562,0.03
271,303,0.574
271,461,0.167
271,460,0.193
271,671,0.73
271,74,0.075
271,124,0.474
271,487,0.596
271,166,0.2
271,484,0.804
271,294,0.552
271,162,0.208
271,1042,-0.051
271,1027,0.123
271,455,0.744
271,1048,-0.046
271,3033,-0.017
271,3193,0.04
271,1244,0.434
271,434,0.406
271,275,0.241
272,234,0.111
272,8,0.106
272,294,0.364
272,978,0.128
273,234,0.128
274,1305,0.009
274,1269,0.759
274,211,0.213
274,1196,0.363
274,53,0.73
274,1547,0.326
274,27,0.279
274,2484,0.15
274,29,0.179
274,162,0.333
274,281,0.018
274,932,0.272
274,548,0.022
274,1460,0.273
274,2408,0.087
274,2012,0.141
274,1094,0.134
274,1313,0.076
274,2469,0.599
274,1492,0.236
274,123,0.308
274,125,0.004
274,1256,0.595
274,2498,0.083
274,1556,0.744
274,2490,0.046
274,2314,0.389
274,2492,0.17
274,1823,0.465
274,3033,0.189
274,2144,0.176
274,2140,0.761
274,1382,0.273
274,376,0.431
274,2906,0.341
274,1122,0.69
274,986,1
274,116,0.351
274,111,0.241
274,275,1
274,81,0.301
274,2785,0.569
274,2541,0.403
274,3029,0.088
274,839,0.406
274,1855,0.194
274,2666,0.605
274,525,0.2
274,526,0.362
274,7,0.203
274,2669,0.266
274,586,0.306
274,309,0.291
274,2601,0.488
274,1774,0.359
274,300,0.396
274,244,0.615
274,3263,0.269
274,385,0.208
274,908,0.111
274,30,0.453
274,1720,0.602
274,1844,-0.067
274,1241,0.146
274,2066,0.615
274,2376,-0.116
274,2166,0.615
274,1838,0.337
274,1227,0.592
274,2928,0.545
274,339,0.266
274,2458,0.135
274,451,0.251
274,453,0.131
274,2598,0.65
274,1229,0.521
274,60,0.424
274,258,0.41
274,2194,0.1
274,1909,0.136
274,2198,0.033
274,69,0.414
274,250,0.298
274,255,0.525
274,854,0.444
274,2201,0.18
274,971,0.398
274,2560,0.107
274,2888,0.424
274,656,0.173
274,180,0.599
274,1226,0.115
274,1032,0.744
274,188,0.043
274,501,0.744
274,752,0.416
274,1359,0.188
274,2627,0.592
274,1214,0.43
274,467,0.444
274,1357,0.548
274,2588,0.281
274,1594,0.744
274,1597,0.408
274,1862,0.51
274,2187,0.026
274,2245,0.577
274,225,1
274,1912,0.394
274,283,0.212
274,221,0.07
274,2664,0.473
274,960,0.304
274,14,0.388
274,3378,-0.049
274,110,0.257
274,1106,0.655
274,1455,0.174
274,1451,0.32
274,1924,0.244
274,2695,0.761
274,1458,0.722
274,1486,0.761
274,1167,0.804
274,155,0.492
274,1213,-0.108
274,1205,0.047
274,1202,0.183
274,234,0.451
274,2945,0.42
274,2085,0.474
274,519,0.643
274,879,0.088
274,1192,0.041
274,872,0.31
274,1963,0.545
274,2539,0.207
274,1296,0.224
274,1278,0.141
274,618,0.663
274,894,0.153
274,895,0.085
274,1272,0.163
274,611,0.195
274,485,0.464
274,2330,0.158
274,512,0.485
274,1047,0.216
274,2129,0.761
274,1970,0.379
274,1367,0.226
274,260,0.815
274,3193,0.426
274,1360,0.326
274,1361,0.667
274,1763,0.184
274,1570,-0.205
275,1226,0.137
275,1192,0.227
275,150,-0.086
275,573,0.188
275,158,0.09
275,1207,0.168
275,662,0.582
275,1202,-0.007
275,485,0.33
275,258,0.113
275,238,0.317
275,135,0.169
275,234,0.146
275,69,0.382
275,250,0.278
275,1597,0.141
275,1390,0.173
275,854,0.277
275,1774,0.01
275,1056,0.126
275,1451,0.18
275,1699,-0.107
275,2225,-0.234
275,482,0.077
275,1110,0.14
275,3,0.091
275,1408,-0.007
275,5,0.208
275,162,0.27
275,340,0.15
275,548,0.278
275,1753,-0.117
275,1507,0.244
275,1313,0.126
275,770,0.27
275,2542,0.077
275,300,0.2855
275,467,0.117
275,1156,-0.053
275,671,0.283
275,1047,0.119
275,376,0.06
275,1492,0.39
275,74,0.239
275,124,0.76
275,385,0.02
275,265,0.137
275,487,0.218
275,1501,0.425
275,225,0.247
275,484,0.182
275,95,0.062
275,843,0.389
275,104,0.348
275,163,0.117
275,1042,0.211
275,1570,0.062
275,960,0.25
275,971,0.067
275,1022,0.132
275,732,0.22
275,1382,0.068
275,122,0.18
275,1066,-0.092
275,1535,0.061
275,1244,0.44
275,720,0.261
275,1008,-0.044
275,384,0.55
275,2012,0.448
275,1539,0.1505
275,125,0.167
276,215,0.041
276,4574,0.009
276,4020,0.1205
276,4471,0.078
276,8541,0.036
276,3047,0.018
276,1770,0.135
276,4701,0.017
276,5279,0.113
276,1945,0.241
276,281,0.043
276,5909,0.288
276,2012,0.121
276,1312,0.231
276,4336,0.058
276,2703,0.169
276,5464,0.266
276,5514,0.044
276,6399,0.189
276,5269,0.222
276,5223,0.323
276,4899,0.135
276,3775,0.143
276,5017,0.118
276,1328,0.592
276,7139,0.027
276,3277,-0.085
276,1823,-0.039
276,1711,-0.173
276,378,0.496
276,5091,0.385
276,5310,0.246
276,524,0.074
276,2079,0.008
276,6067,0.127
276,2661,-0.117
276,6069,0.162
276,2609,0.083
276,3741,0.018
276,861,0.342
276,5323,0.492
276,243,0.086
276,5321,0.18
276,5771,0.277
276,5776,0.056
276,903,0.158
276,5579,0.515
276,1726,-0.05
276,31,0.151
276,1846,0.223
276,1845,0.057
276,5408,0.199
276,1004,0.031
276,579,0.307
276,5541,0.492
276,626,0.055
276,336,0.326
276,4904,0.492
276,5662,0.425
276,2192,0.125
276,69,0.131
276,4343,0.173
276,977,0.084
276,1422,0.288
276,2054,0.227
276,2056,0.017
276,4536,0.492
276,2470,0.349
276,6363,0.368
276,6361,0.025
276,3288,0.111
276,1913,0.151
276,5106,0.244
276,5558,0.325
276,5229,0.183
276,961,0.103
276,5425,0.093
276,5220,0.184
276,5710,0.113
276,1452,0.163
276,7752,0.197
276,1458,0.203
276,559,0.249
276,2434,0.068
276,3739,0.15
276,5884,0.124
276,234,0.237
276,2940,0.118
276,5357,0.367
276,929,0.492
276,5190,0.016
276,3344,0.086
276,1111,0.2635
276,6226,0.08
276,3978,0.026
276,1562,0.076
276,1449,0.492
276,5162,0.184
